1797	0
2999	50148
3401	136676
1345	235421
1307	272470
1290	309308
1711	346461
1941	395465
480	449815
518	463780
1019	478669
2134	508617
3502	569221
1389	669458
882	710478
2193	734416
119	798737
1606	802231
3638	847621
1388	956428
290	996257
613	1004684
2185	1022530
36	1085296
202	1086351
137	1092074
29::USAR0004::Alicia, AR
25::USTX0019::Alief, TX
24::USOK0013::Aline, OK
24::USPA0022::Aliquippa, PA
28::USCA0014::Aliso Viejo, CA
30::USAR0005::Alix, AR
23::NLXX0001::Alkmaar, Netherlands
35::USWV0006::Alkol, WV
24::INXX0003::Allahabad, India
31::USAK0008::Allakaket, AK
28::USNJ0003::Allamuchy, NJ
28::NZXX0001::Allanton, New Zealand
36::USTN0007::Allardt, TN
26::USOH0012::Alledonia, OH
28::USAR0006::Alleene, AR
26::USMI0014::Allegan, MI
26::USNY0021::Allegany, NY
27::USOR0006::Allegany, OR
27::USCA0015::Alleghany, CA
28::USKY0644::Allegre, KY
26::USIA0016::Alleman, IA
26::USWV0007::Allen Junction, WV
33::USMI0016::Allen Park, MI
29::USAL0013::Allen, AL
24::USKS0009::Allen, KS
24::USKY0645::Allen, KY
24::USMD0008::Allen, MD
24::USMI0015::Allen, MI
24::USNE0007::Allen, NE
24::USOK0014::Allen, OK
24::USSD0006::Allen, SD
24::USTX0020::Allen, TX
24::USIL0016::Allendale, IL
28::USMI0017::Allendale, MI
28::USMO0008::Allendale, MO
28::USNJ0004::Allendale, NJ
28::USSC0005::Allendale, SC
28::GMXX0162::Allendorf, Germany
33::USIA0017::Allendorf, IA
28::USGA0010::Allenhurst, GA
29::USNJ0005::Allenhurst, NJ
29::USPA0023::Allenport, PA
28::USCO0005::Allenspark, CO
29::USKY0646::Allensville, KY
30::USPA0024::Allensville, PA
30::USMI0018::Allenton, MI
27::USMO0009::Allenton, MO
27::USWI0008::Allenton, WI
27::USGA0011::Allentown, GA
28::USNJ0006::Allentown, NJ
28::USNY0022::Allentown, NY
28::USPA0025::Allentown, PA
28::USNJ0007::Allenwood, NJ
28::USPA0026::Allenwood, PA
28::INXX0004::Alleppey, India
30::USIA0018::Allerton, IA
27::USIL0017::Allerton, IL
27::USTX0021::Alleyton, TX
27::USAL0014::Allgood, AL
26::USNC0009::Alliance, NC
27::USNE0008::Alliance, NE
27::USOH0013::Alliance, OH
27::USMS0005::Alligator, MS
28::USPA0028::Allison Park, PA
31::USIA0019::Allison, IA
26::USPA0027::Allison, PA
26::USTX0022::Allison, TX
26::USTN0008::Allons, TN
25::USMI0019::Allouez, MI
26::USNJ0008::Alloway, NJ
26::USWV0008::Alloy, WV
24::USPA0029::Allport, PA
26::USTN0009::Allred, TN
25::USMA0007::Allston, MA
26::USWA0007::Allyn, WA
24::KZXX0001::Alma Ata, Kazakhstan
35::USWI0010::Alma Center, WI
30::USAL0015::Alma, AL
23::USAR0007::Alma, AR
23::USCO0006::Alma, CO
23::USGA0012::Alma, GA
23::USIL0018::Alma, IL
23::USKS0010::Alma, KS
23::USMI0020::Alma, MI
23::USMO0010::Alma, MO
23::USNE0009::Alma, NE
23::USNY0023::Alma, NY
23::USWI0009::Alma, WI
23::USWV0009::Alma, WV
23::POXX0001::Almada, Portugal
31::UZXX0001::Almalyk, Uzbekistan
34::BRXX0483::Almeirim, Brazil
31::USMN0018::Almelund, MN
27::USKS0011::Almena, KS
25::USWI0011::Almena, WI
25::BRXX0484::Almenara, Brazil
31::SPXX0009::Almeria, Spain
29::USWA0008::Almira, WA
25::USID0004::Almo, ID
23::USKY0647::Almo, KY
23::USNC0010::Almond, NC
25::USNY0024::Almond, NY
25::USWI0012::Almond, WI
25::USCO0007::Almont, CO
25::USMI0021::Almont, MI
25::USND0007::Almont, ND
